stop_id,stop_name
1,E. College Ave at S. Allen Street
4,Pattee Transit Center Eastbound
5,Hastings Rd at University Drive
6,West Park Ave at North Burrowes St
7,N Atherton St at Hillcrest Ave
8,1101 N. Atherton St at CVS
9,801 Toftrees Avenue - The Station
15,801 W Aaron Dr at Park Forest Apartments
16,1003 W Aaron Dr near State College Colle
38,Waupelani Dr opposite Jaru Copy
39,1100 W Aaron Dr at State College Collect
40,720 W Aaron Dr at Aaron Village
46,1224 N Atherton St - Discovery Space
47,N Atherton St at Mitchell Ave Inbound
48,N Atherton St at Mitchell Ave Inbound
51,Curtin Rd at Pavilion Theatre
52,E College Ave at Atherton Hall
53,Bigler Rd at Computer Building
54,Shortlidge Rd at White Building
55,Pollock Rd at Millennium Science Cplx
64,Waupelani Dr at Waupelani Lofts
110,1001 University Dr
111,University Dr at E. Waring Ave (SSA Office)
112,University Dr at Bellaire Ave (Inbound)
118,Trout Road at Pleasant Pointe
147,Gerald St at Matthew Circle Outbound
148,Curtin Rd at McCoy Natatorium
149,Curtin Rd at Shields Building
150,University Dr at the Pegula Ice Arena
151,University Dr at Hastings Rd
152,University Dr at Lot 83 West
153,University Dr at Jordan Center Gate D
154,Curtin Rd at the Intramural Building
155,East Halls at Curtin Hall
156,South Atherton at Creekside Plaza
157,1661 S Atherton St at IHOP
159,Bigler Rd at Nittany Community Center
160,Opposite 1031 E College Ave
161,E College Ave at Your Building Center
162,E College Ave at Squirrel Dr Outbound
163,Walmart - Inbound
164,Ross/Harbor Freight
165,Nittany Mall Main Entrance
169,E College Av at Hickeys
170,E College Ave at Puddintown Rd
171,1031 East College Ave at Hampton Inn
212,W Whitehall Road at CATA
246,W Beaver Ave at S Barnard St
247,W College Ave at N Barnard St
249,Colonnade Blvd at Home Goods
250,Colonnade Blvd at Target/Dicks
251,850 Toftrees Avenue - The View
252,Colonnade Blvd Opposite Kohls
253,Opposite 240 Toftrees Ave
254,240 Toftrees Ave (Turtle Creek Apts)
255,301 Toftrees Ave
256,Opposite 301 Toftrees Ave
257,359 Toftrees Ave (Parkgate Apartments)
258,350 Toftrees Ave (Turtle Creek Apts)
260,Cricklewood Dr at N Barkway Lane
261,Cricklewood Dr at S Barkway Lane
262,Cricklewood Dr at Wilts Lane Outbound
263,Cricklewood Dr at Wilts Lane Inbound
264,541 Cricklewood Dr
265,711 Cricklewood Dr
266,Opposite 711 Cricklewood Dr
267,Cricklewood Dr at the American Ale House
268,Cricklewood Dr at Cricklewood Apts
269,Opposite 910 Cricklewood Dr
270,910 Cricklewood Dr
275,Cricklewood Dr at Cricklewood Circle
277,Fox Hollow Rd at Orchard Rd Inbound
278,Fox Hollow Rd at Orchard Rd Outbound
279,Porter Rd at Beaver Stadium East
280,Athletic Administration Building
281,Porter Rd at Jordan East Parking
282,Hastings Rd at Lot 43 East
283,Hastings Rd at Forest Research Lab
285,Walker Building
287,Curtin Rd at Bryce Jordan Center
288,W College Ave at N Sparks St
289,W Beaver Ave at S Sparks St
290,W College Ave at N Butz St
291,W College Ave at Buckhout St & Haus
292,W College Ave near Corl St
293,W College Ave at Hoy St
294,1445 W College Ave
295,1400 W College Ave
296,Opposite 1506 W College Ave
297,1506 W College Ave
304,W College Ave at Holly Circle Inbound
305,W College Ave at Chelsea Lane Inbound
306,W College Ave at Chelsea Lane Outbound
307,W College Ave at Bristol Ave Inbound
308,W College Ave at Bristol Ave Outbound
310,Enterprise Dr at Bristol Ave
312,Opposite 3035 Enterprise Dr
313,3075 Enterprise Drive
314,Enterprise Dr at Cato Ave
315,Cato Ave at Enterprise Dr
316,Cato Ave at Research Dr
